     No, No1, No2, No3, No4, No5, No6, No7
12096,5,10,19,24,35,8,9
12095,6,9,22,27,30,8,12
12094,2,14,23,32,35,1,10
12093,2,16,21,31,33,4,11
12092,8,9,23,25,31,2,12
12091,3,10,28,31,33,1,9
12090,2,21,27,29,33,2,10
12089,6,12,21,29,32,6,11
12088,13,17,24,30,35,2,10
12087,1,6,7,21,31,4,11
12086,3,20,25,29,32,5,10
12085,7,18,29,31,33,10,12
12084,21,24,27,29,31,1,2
12083,16,19,28,29,31,5,8
12082,2,4,9,10,15,8,10
12081,10,16,17,30,35,1,8
12080,11,12,14,25,28,2,5
12079,1,5,25,32,33,1,10
12078,1,2,23,25,35,5,12
12077,10,30,32,33,34,2,3
12076,2,14,16,22,24,2,5
12075,7,9,10,18,22,5,10
12074,10,22,23,30,32,1,7
12073,18,23,29,33,34,2,7
12072,4,8,17,22,25,4,10
12071,13,23,29,31,34,6,8
12070,9,22,23,32,34,6,8
12069,2,4,22,25,34,2,11
12068,1,21,31,32,35,3,6
12067,20,22,27,30,33,1,2
12066,1,20,25,29,33,4,6
12065,10,22,28,29,34,5,11
12064,9,12,13,15,30,9,10
12063,11,25,26,29,35,1,2
12062,21,32,33,34,35,8,9
12061,5,10,14,27,33,7,9
12060,2,16,21,24,30,6,10
12059,9,13,19,21,27,3,4
12058,13,21,29,31,35,4,12
12057,1,2,14,33,34,3,5
12056,11,21,23,26,34,7,9
12055,7,22,26,32,33,1,8
12054,1,16,18,27,30,10,11
12053,11,12,26,28,31,7,12
12052,10,20,26,31,33,10,12
12051,1,2,17,18,33,5,12
12050,13,17,22,28,29,1,10
12049,9,18,22,27,31,10,12
12048,6,9,26,30,35,5,6
12047,5,7,17,30,34,3,10
12046,4,8,19,23,27,4,11
12045,5,11,17,20,28,11,12
12044,3,4,14,32,35,1,2
12043,1,6,25,31,34,3,9
12042,7,24,27,28,35,7,12
12041,1,2,13,22,23,2,10
12040,2,13,23,28,29,1,5
12039,15,21,22,24,35,1,5
12038,11,23,25,31,35,1,3
12037,9,13,27,31,35,3,10
12036,1,9,20,30,31,8,12
12035,1,4,30,32,35,8,12
12034,1,8,15,16,29,8,9
12033,8,13,19,27,32,1,8
12032,7,8,16,26,34,7,11
12031,19,21,23,25,30,3,8
12030,3,21,22,26,32,1,3
12029,4,7,8,18,29,7,10
12028,10,12,15,33,34,3,10
12027,3,10,11,22,31,5,7
12026,10,11,22,23,29,2,9
12025,1,2,5,12,27,4,7
12024,3,11,17,21,30,3,7
12023,7,9,17,29,35,9,10
12022,7,12,20,33,35,1,10
12021,10,15,21,31,34,7,8
12020,12,14,27,29,34,3,6
12019,7,9,17,30,34,1,12
12018,3,10,14,29,31,4,8
12017,6,11,22,29,34,3,12
12016,5,14,20,29,31,8,12
12015,12,13,24,26,33,6,8
12014,10,14,24,30,32,1,12
12013,7,8,11,12,24,1,2
12012,6,18,22,30,35,2,7
12011,5,19,22,29,30,2,4
12010,25,26,29,32,34,5,7
12009,6,14,20,29,35,9,10
